,WINNER,LOSER
0,/tournament/674d4ac995f729096d70c0ab/player/zdraugnav,/tournament/674d4ac995f729096d70c0ab/player/graphadw
1,/tournament/674d4ac995f729096d70c0ab/player/zdraugnav,/tournament/674d4ac995f729096d70c0ab/player/super_peace
2,/tournament/674d4ac995f729096d70c0ab/player/zdraugnav,/tournament/674d4ac995f729096d70c0ab/player/flute
3,/tournament/674d4ac995f729096d70c0ab/player/zdraugnav,/tournament/674d4ac995f729096d70c0ab/player/xing3
4,/tournament/674d4ac995f729096d70c0ab/player/zdraugnav,/tournament/674d4ac995f729096d70c0ab/player/slashu
5,/tournament/674d4ac995f729096d70c0ab/player/zdraugnav,/tournament/674d4ac995f729096d70c0ab/player/bigmack
6,/tournament/674d4ac995f729096d70c0ab/player/zdraugnav,/tournament/674d4ac995f729096d70c0ab/player/yugax
7,/tournament/674d4ac995f729096d70c0ab/player/graphadw,/tournament/674d4ac995f729096d70c0ab/player/raizo
8,/tournament/674d4ac995f729096d70c0ab/player/graphadw,/tournament/674d4ac995f729096d70c0ab/player/kingt
9,/tournament/674d4ac995f729096d70c0ab/player/graphadw,/tournament/674d4ac995f729096d70c0ab/player/atia
10,/tournament/674d4ac995f729096d70c0ab/player/graphadw,/tournament/674d4ac995f729096d70c0ab/player/duo
11,/tournament/674d4ac995f729096d70c0ab/player/graphadw,/tournament/674d4ac995f729096d70c0ab/player/silverbananaa
12,/tournament/674d4ac995f729096d70c0ab/player/graphadw,/tournament/674d4ac995f729096d70c0ab/player/carvan0508
13,/tournament/674d4ac995f729096d70c0ab/player/super_peace,/tournament/674d4ac995f729096d70c0ab/player/nokeysss
14,/tournament/674d4ac995f729096d70c0ab/player/super_peace,/tournament/674d4ac995f729096d70c0ab/player/dewa_ares
15,/tournament/674d4ac995f729096d70c0ab/player/super_peace,/tournament/674d4ac995f729096d70c0ab/player/tgreganium41
16,/tournament/674d4ac995f729096d70c0ab/player/super_peace,/tournament/674d4ac995f729096d70c0ab/player/wnw
17,/tournament/674d4ac995f729096d70c0ab/player/super_peace,/tournament/674d4ac995f729096d70c0ab/player/axojad
18,/tournament/674d4ac995f729096d70c0ab/player/super_peace,/tournament/674d4ac995f729096d70c0ab/player/joselitosuarez
19,/tournament/674d4ac995f729096d70c0ab/player/raizo,/tournament/674d4ac995f729096d70c0ab/player/peua
20,/tournament/674d4ac995f729096d70c0ab/player/raizo,/tournament/674d4ac995f729096d70c0ab/player/cleverbyo
21,/tournament/674d4ac995f729096d70c0ab/player/raizo,/tournament/674d4ac995f729096d70c0ab/player/graphadw
22,/tournament/674d4ac995f729096d70c0ab/player/raizo,/tournament/674d4ac995f729096d70c0ab/player/amaurix
23,/tournament/674d4ac995f729096d70c0ab/player/raizo,/tournament/674d4ac995f729096d70c0ab/player/uwill
24,/tournament/674d4ac995f729096d70c0ab/player/raizo,/tournament/674d4ac995f729096d70c0ab/player/gune1014
25,/tournament/674d4ac995f729096d70c0ab/player/flute,/tournament/674d4ac995f729096d70c0ab/player/shaun294
26,/tournament/674d4ac995f729096d70c0ab/player/flute,/tournament/674d4ac995f729096d70c0ab/player/shaun294
27,/tournament/674d4ac995f729096d70c0ab/player/flute,/tournament/674d4ac995f729096d70c0ab/player/dewa_ares
